[ESP=00:42:07.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.520000457763672, pressure_hpa: 955.8900146484375}
[ESP=00:42:26.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 27.260000228881836, pressure_hpa: 955.8599853515625}
[ESP=00:42:27.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 27.079999923706055, pressure_hpa: 955.9099731445312}
[ESP=00:42:28.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 26.93000030517578, pressure_hpa: 955.8699951171875}
[ESP=00:42:29.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 26.760000228881836, pressure_hpa: 955.8900146484375}
[ESP=00:42:30.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 26.600000381469727, pressure_hpa: 955.8599853515625}
[ESP=00:42:31.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 26.479999542236328, pressure_hpa: 955.9099731445312}
[ESP=00:42:32.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 26.3700008392334, pressure_hpa: 955.8800048828125}
[ESP=00:42:33.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 26.229999542236328, pressure_hpa: 955.9199829101562}
[ESP=00:42:34.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 26.110000610351562, pressure_hpa: 955.9099731445312}
[ESP=00:42:35.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 26.010000228881836, pressure_hpa: 955.8699951171875}
[ESP=00:42:36.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.90999984741211, pressure_hpa: 955.9000244140625}
[ESP=00:42:37.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.81999969482422, pressure_hpa: 955.9199829101562}
[ESP=00:42:38.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.75, pressure_hpa: 955.9099731445312}
[ESP=00:42:39.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.690000534057617, pressure_hpa: 955.9000244140625}
[ESP=00:42:40.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.6299991607666, pressure_hpa: 955.8599853515625}
[ESP=00:42:41.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.559999465942383, pressure_hpa: 955.8800048828125}
[ESP=00:42:42.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.5, pressure_hpa: 955.8599853515625}
[ESP=00:42:43.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.440000534057617, pressure_hpa: 955.9299926757812}
[ESP=00:42:44.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.3700008392334, pressure_hpa: 955.9000244140625}
[ESP=00:42:45.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.309999465942383, pressure_hpa: 955.8900146484375}
[ESP=00:42:46.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.260000228881836, pressure_hpa: 955.9000244140625}
[ESP=00:42:47.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.219999313354492, pressure_hpa: 955.9000244140625}
[ESP=00:42:48.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.170000076293945, pressure_hpa: 955.9500122070312}
[ESP=00:42:49.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.1200008392334, pressure_hpa: 955.9299926757812}
[ESP=00:42:50.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.079999923706055, pressure_hpa: 955.9400024414062}
[ESP=00:42:51.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.040000915527344, pressure_hpa: 955.8699951171875}
[ESP=00:42:52.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.010000228881836, pressure_hpa: 955.9000244140625}
[ESP=00:42:53.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.979999542236328, pressure_hpa: 955.9299926757812}
[ESP=00:42:54.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.959999084472656, pressure_hpa: 955.8900146484375}
[ESP=00:42:55.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.93000030517578, pressure_hpa: 955.8900146484375}
[ESP=00:42:56.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.90999984741211, pressure_hpa: 955.9400024414062}
[ESP=00:42:57.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.889999389648438, pressure_hpa: 955.9400024414062}
[ESP=00:42:58.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.860000610351562, pressure_hpa: 955.9000244140625}
[ESP=00:42:59.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.84000015258789, pressure_hpa: 955.8900146484375}
[ESP=00:43:00.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.809999465942383, pressure_hpa: 955.9299926757812}
[ESP=00:43:01.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.780000686645508, pressure_hpa: 955.9400024414062}
[ESP=00:43:02.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.75, pressure_hpa: 955.8900146484375}
[ESP=00:43:03.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.719999313354492, pressure_hpa: 955.8800048828125}
[ESP=00:43:04.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.700000762939453, pressure_hpa: 955.8699951171875}
[ESP=00:43:05.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.670000076293945, pressure_hpa: 955.9000244140625}
[ESP=00:43:06.225] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.65999984741211, pressure_hpa: 955.8599853515625}
[ESP=00:43:07.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.639999389648438, pressure_hpa: 955.8699951171875}
[ESP=00:43:08.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.6200008392334, pressure_hpa: 955.8599853515625}
[ESP=00:43:09.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.149999618530273, pressure_hpa: 954.4299926757812}
[ESP=00:43:10.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 32.86000061035156, pressure_hpa: 970.6900024414062}
[ESP=00:43:11.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 30.290000915527344, pressure_hpa: 955.9000244140625}
[ESP=00:43:12.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 28.559999465942383, pressure_hpa: 955.9400024414062}
[ESP=00:43:13.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 27.860000610351562, pressure_hpa: 955.9099731445312}
[ESP=00:43:14.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 27.389999389648438, pressure_hpa: 955.9299926757812}
[ESP=00:43:15.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 27.049999237060547, pressure_hpa: 955.9199829101562}
[ESP=00:43:16.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 26.780000686645508, pressure_hpa: 955.9299926757812}
[ESP=00:43:17.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 26.56999969482422, pressure_hpa: 955.9199829101562}
[ESP=00:43:18.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 26.40999984741211, pressure_hpa: 955.9299926757812}
[ESP=00:43:19.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 26.219999313354492, pressure_hpa: 955.9099731445312}
[ESP=00:43:20.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 26.09000015258789, pressure_hpa: 955.9099731445312}
[ESP=00:43:21.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.979999542236328, pressure_hpa: 955.9099731445312}
[ESP=00:43:22.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.860000610351562, pressure_hpa: 955.9099731445312}
[ESP=00:43:23.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.790000915527344, pressure_hpa: 955.9400024414062}
[ESP=00:43:24.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.709999084472656, pressure_hpa: 955.9299926757812}
[ESP=00:43:25.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.65999984741211, pressure_hpa: 955.9600219726562}
[ESP=00:43:26.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.639999389648438, pressure_hpa: 955.9099731445312}
[ESP=00:43:27.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.610000610351562, pressure_hpa: 955.9500122070312}
[ESP=00:43:28.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.59000015258789, pressure_hpa: 955.9299926757812}
[ESP=00:43:29.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.559999465942383, pressure_hpa: 955.8900146484375}
[ESP=00:43:30.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.520000457763672, pressure_hpa: 955.9199829101562}
[ESP=00:43:31.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.489999771118164, pressure_hpa: 955.9600219726562}
[ESP=00:43:32.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.459999084472656, pressure_hpa: 955.9000244140625}
[ESP=00:43:33.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.43000030517578, pressure_hpa: 955.9199829101562}
[ESP=00:43:34.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.399999618530273, pressure_hpa: 955.9400024414062}
[ESP=00:43:35.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.360000610351562, pressure_hpa: 955.9500122070312}
[ESP=00:43:36.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.329999923706055, pressure_hpa: 955.9199829101562}
[ESP=00:43:37.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.290000915527344, pressure_hpa: 955.8800048828125}
[ESP=00:43:38.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.260000228881836, pressure_hpa: 955.989990234375}
[ESP=00:43:39.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.219999313354492, pressure_hpa: 955.9199829101562}
[ESP=00:43:40.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.200000762939453, pressure_hpa: 955.9000244140625}
[ESP=00:43:41.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.15999984741211, pressure_hpa: 955.9500122070312}
[ESP=00:43:42.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.110000610351562, pressure_hpa: 955.9600219726562}
[ESP=00:43:43.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.079999923706055, pressure_hpa: 955.9199829101562}
[ESP=00:43:44.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.059999465942383, pressure_hpa: 955.9500122070312}
[ESP=00:43:45.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.049999237060547, pressure_hpa: 955.9199829101562}
[ESP=00:43:46.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.020000457763672, pressure_hpa: 955.9500122070312}
[ESP=00:43:47.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 25.0, pressure_hpa: 955.9400024414062}
[ESP=00:43:48.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.979999542236328, pressure_hpa: 955.9400024414062}
[ESP=00:43:49.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.959999084472656, pressure_hpa: 955.9299926757812}
[ESP=00:43:50.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.940000534057617, pressure_hpa: 956.0}
[ESP=00:43:51.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.90999984741211, pressure_hpa: 955.9400024414062}
[ESP=00:43:52.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.8799991607666, pressure_hpa: 955.8800048828125}
[ESP=00:43:53.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.8700008392334, pressure_hpa: 955.969970703125}
[ESP=00:43:54.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.850000381469727, pressure_hpa: 955.8900146484375}
[ESP=00:43:55.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.829999923706055, pressure_hpa: 955.9099731445312}
[ESP=00:43:56.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.799999237060547, pressure_hpa: 955.8599853515625}
[ESP=00:43:57.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.780000686645508, pressure_hpa: 955.9500122070312}
[ESP=00:43:58.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.760000228881836, pressure_hpa: 955.9199829101562}
[ESP=00:43:59.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.739999771118164, pressure_hpa: 955.9500122070312}
[ESP=00:44:00.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.719999313354492, pressure_hpa: 955.9600219726562}
[ESP=00:44:01.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.700000762939453, pressure_hpa: 955.969970703125}
[ESP=00:44:02.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.690000534057617, pressure_hpa: 955.9099731445312}
[ESP=00:44:03.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.670000076293945, pressure_hpa: 955.9099731445312}
[ESP=00:44:04.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.65999984741211, pressure_hpa: 955.9400024414062}
[ESP=00:44:05.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.639999389648438, pressure_hpa: 955.9600219726562}
[ESP=00:44:06.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.6299991607666, pressure_hpa: 955.9400024414062}
[ESP=00:44:07.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.6299991607666, pressure_hpa: 955.9199829101562}
[ESP=00:44:08.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.6299991607666, pressure_hpa: 955.9000244140625}
[ESP=00:44:09.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.6299991607666, pressure_hpa: 955.9099731445312}
[ESP=00:44:10.225] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.6200008392334, pressure_hpa: 955.9199829101562}
[ESP=00:44:11.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.610000610351562, pressure_hpa: 955.9099731445312}
[ESP=00:44:12.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.610000610351562, pressure_hpa: 955.9500122070312}
[ESP=00:44:13.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.610000610351562, pressure_hpa: 955.9500122070312}
[ESP=00:44:14.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.6200008392334, pressure_hpa: 955.9400024414062}
[ESP=00:44:15.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.610000610351562, pressure_hpa: 955.969970703125}
[ESP=00:44:16.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.600000381469727, pressure_hpa: 955.969970703125}
[ESP=00:44:17.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.600000381469727, pressure_hpa: 955.9299926757812}
[ESP=00:44:18.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.59000015258789, pressure_hpa: 955.9500122070312}
[ESP=00:44:19.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.59000015258789, pressure_hpa: 955.9099731445312}
[ESP=00:44:20.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.579999923706055, pressure_hpa: 955.9299926757812}
[ESP=00:44:21.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.56999969482422, pressure_hpa: 955.9400024414062}
[ESP=00:44:22.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.559999465942383, pressure_hpa: 955.9600219726562}
[ESP=00:44:23.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.549999237060547, pressure_hpa: 955.9500122070312}
[ESP=00:44:24.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.559999465942383, pressure_hpa: 955.969970703125}
[ESP=00:44:25.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.559999465942383, pressure_hpa: 955.969970703125}
[ESP=00:44:26.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.549999237060547, pressure_hpa: 955.9199829101562}
[ESP=00:44:27.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.549999237060547, pressure_hpa: 955.9500122070312}
[ESP=00:44:28.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.549999237060547, pressure_hpa: 956.010009765625}
[ESP=00:44:29.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.549999237060547, pressure_hpa: 955.9199829101562}
[ESP=00:44:30.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.559999465942383, pressure_hpa: 955.9400024414062}
[ESP=00:44:31.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.559999465942383, pressure_hpa: 956.0}
[ESP=00:44:32.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.559999465942383, pressure_hpa: 955.9500122070312}
[ESP=00:44:33.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.56999969482422, pressure_hpa: 955.969970703125}
[ESP=00:44:34.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.579999923706055, pressure_hpa: 955.97998046875}
[ESP=00:44:35.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.579999923706055, pressure_hpa: 955.9400024414062}
[ESP=00:44:36.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.579999923706055, pressure_hpa: 955.969970703125}
[ESP=00:44:37.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.59000015258789, pressure_hpa: 955.9199829101562}
[ESP=00:44:38.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.59000015258789, pressure_hpa: 955.989990234375}
[ESP=00:44:39.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.600000381469727, pressure_hpa: 955.969970703125}
[ESP=00:44:40.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.610000610351562, pressure_hpa: 956.010009765625}
[ESP=00:44:41.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.610000610351562, pressure_hpa: 955.969970703125}
[ESP=00:44:42.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.6200008392334, pressure_hpa: 955.97998046875}
[ESP=00:44:43.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.610000610351562, pressure_hpa: 955.969970703125}
[ESP=00:44:44.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.610000610351562, pressure_hpa: 955.9199829101562}
[ESP=00:44:45.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.610000610351562, pressure_hpa: 955.9400024414062}
[ESP=00:44:46.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.6200008392334, pressure_hpa: 955.989990234375}
[ESP=00:44:47.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.6200008392334, pressure_hpa: 955.9500122070312}
[ESP=00:44:48.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.6299991607666, pressure_hpa: 955.9600219726562}
[ESP=00:44:49.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.6299991607666, pressure_hpa: 955.9500122070312}
[ESP=00:44:50.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.6299991607666, pressure_hpa: 955.969970703125}
[ESP=00:44:51.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.6299991607666, pressure_hpa: 955.9600219726562}
[ESP=00:44:52.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.639999389648438, pressure_hpa: 955.9400024414062}
[ESP=00:44:53.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.639999389648438, pressure_hpa: 955.969970703125}
[ESP=00:44:54.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.6299991607666, pressure_hpa: 955.9199829101562}
